epoch,raw_score,moving_avg_score
0,-17.841791044776034,-0.17841791044776034
1,-17.72926829268281,-0.35392641427011085
2,-19.106918238993604,-0.5414563325173458
3,-17.841791044776034,-0.7144596796399327
4,-17.793103448275698,-0.8852461173262904
5,-3.725925925925674,-0.9136529154122843
6,-18.399999999999874,-1.0885163862581602
7,-17.799999999999873,-1.2556312223955775
8,-17.703389830508392,-1.4201088084767055
9,-31.177039274924695,-1.7176781131411853
10,-17.775884244372886,-1.8782601744535024
11,-35.915894039735704,-2.2186365131063246
12,-17.770068027210787,-2.374150828247369
13,-17.883333333333148,-2.529242653298227
14,-17.708496732026056,-2.6810351940855055
15,-17.867346938775356,-2.832898311532404
16,-39.145508982036915,-3.196024418237449
17,-3.646953405017667,-3.2005337081052514
18,-3.6047244094484014,-3.204575615118683
19,-17.79999999999989,-3.3505298589674952
20,-3.850557620817603,-3.355530136585996
21,-3.9176470588232943,-3.3611513058083693
22,-17.792929292929237,-3.505469085679578
23,-3.5579150579147867,-3.50599354540193
24,-26.70991501416442,-3.7380327600895544
25,-17.896091205211583,-3.8796133445407746
26,-17.712460063897723,-4.017941811734344
27,-17.711111111110895,-4.154873504728109
28,-3.802996254681422,-4.1513547322276425
29,-3.7827361563516706,-4.147668546468883
30,-3.3898550724635013,-4.1400904117288295
31,-23.151572327044004,-4.330205230881981
32,-17.816949152542144,-4.465072670098583
33,-17.714675767918045,-4.597568701076778
34,-17.832558139534797,-4.729918595461358
35,-17.85030674846623,-4.861122476991407
36,-3.831578947368196,-4.850827041695175
37,-3.886120996441041,-4.841179981242633
38,-17.79306930693054,-4.9706988744995115
39,-17.771428571428494,-5.098706171468802
40,-43.9623376623383,-5.487342486377497
41,-17.768852459016315,-5.6101575861038855
42,-3.580419580419336,-5.58986020604704
43,-17.757664233576513,-5.711538246322334
44,-3.3776173285197024,-5.688199037144308
45,-3.7055555555554407,-5.668372602328419
46,-4.19292929292917,-5.653618169234426
47,-3.9999999999996865,-5.637081987542079
48,-17.773426573426537,-5.758445433400923
49,-3.7416107382548422,-5.738277086449463
50,-17.715789473684133,-5.85805221032181
51,-17.71343283582081,-5.976606016576799
52,-17.717571884983926,-6.09401567526087
53,-17.70675241157555,-6.210143042624017
54,-3.4388888888886266,-6.182430501086662
55,-17.8103678929765,-6.29870987500556
56,-3.330699088145673,-6.269029767136961
57,-3.8940594059404114,-6.245280063524996
58,-3.8777777777774944,-6.221605040667521
59,-3.875675675675496,-6.198145747017601
60,-3.671428571428354,-6.172878575261708
61,-3.73623188405773,-6.148512108349668
62,-3.8092250922506907,-6.125119238188678
63,-17.892982456140203,-6.242797870368194
64,-17.80886075949364,-6.358458499259449
65,-17.798625429553166,-6.472860168562386
66,-3.9475409836063386,-6.447606976712826
67,-17.75030674846611,-6.560633974430359
68,-17.735640138408066,-6.672384036070135
69,-17.87223974763403,-6.784382593185774
70,-17.899999999999885,-6.895538767253915
71,-17.81168831168822,-7.0047002626982575
72,-3.8705882352938863,-6.973359142424213
73,-17.79273927392734,-7.081552943739244
74,-17.803389830508277,-7.188771312606935
75,10.523809523809325,-7.0116455042427726
76,-17.83086419753085,-7.119837691175654
77,-3.7070175438594437,-7.0857094897024915
78,-3.3898550724635013,-7.048750945530102
79,14.550187265916916,-6.832761563415632
80,-3.6894389438941366,-6.801328337220418
81,-17.799999999999848,-6.911315053848211
82,-17.89470404984413,-7.0211489438081705
83,16.68897338402998,-6.784047720529789
84,10.657142857142219,-6.6096358147530685
85,-3.8847682119202256,-6.58238713872474
86,-3.540229885057296,-6.551965566188065
87,-3.7376623376621154,-6.523822533902806
88,-3.8950530035333206,-6.497534838599111
89,-3.8508771929822627,-6.471068262142943
90,-3.903389830508258,-6.445391477826596
91,-3.955830388692019,-6.4204958669352505
92,12.633333333333173,-6.229957574932566
93,22.311262798634598,-5.944545371196894
94,10.88764044943819,-5.776223512990544
95,-3.48309859154913,-5.75329226377613
96,-17.73564013840818,-5.873115742522451
97,-3.9960912052115076,-5.854345497149342
98,11.139549839228303,-5.684406543785565
99,-17.859932659932564,-5.806161804947035
100,-4.025622775800488,-5.788356414655569
101,-3.7731343283579535,-5.7682041937925925
102,-17.83772455089815,-5.888899397363648
103,-3.911111111110855,-5.869121514501121
104,-3.6135593220336695,-5.846565892576446
105,-3.6243243243240086,-5.8243434768939215
106,-3.9836065573768993,-5.805936107698751
107,10.285324232082058,-5.6450235043009425
108,-3.6714285714283452,-5.625287554972216
109,11.889250814332218,-5.450142171279172
110,16.238686131386512,-5.233253888252515
111,38.841697416972835,-4.792504375200261
112,-17.704575163398548,-4.921625083082245
113,-3.9879598662205384,-4.912288430913628
114,13.112087912087736,-4.732044667483613
115,-3.4265017667842135,-4.718989238476619
116,-3.412345679012133,-4.705922802881974
117,9.92066420664211,-4.559656932786734
118,-17.752380952380875,-4.691584172982675
119,-3.9523178807945163,-4.684191510060794
120,-3.7744966442951466,-4.675094561403137
121,-17.88717948717938,-4.807215410660899
122,-17.61589403973478,-4.935302196951638
123,-3.7475285171099966,-4.923424460153221
124,26.827272727271783,-4.605917488278971
125,-17.675080906148708,-4.7366091224576685
126,-17.81818181818177,-4.86742484941491
127,-3.7440677966099494,-4.85619127888686
128,-17.766343042071135,-4.985292796518703
129,-3.949999999999777,-4.9749398685535136
130,15.23136531365298,-4.772876816731448
131,-3.7325581395346963,-4.76247362995948
132,-3.9241134751772306,-4.754090028411658
133,-3.8237288135591454,-4.744786416263133
134,-3.9580645161288266,-4.7369191972617894
135,11.91014492753626,-4.570448556013809
136,9.924324324324298,-4.425500827210428
137,16.65850340135983,-4.214660784924725
138,9.385496183206191,-4.078659215243415
139,-17.785185185185107,-4.2157244749428315
140,-3.744794952681293,-4.211015179720216
141,-17.76311239193078,-4.346536151842321
142,-4.224390243902308,-4.345314692762921
143,-3.6714285714283683,-4.338575831549575
144,20.891780821917262,-4.086272265014906
145,-17.738993710691584,-4.222799479471672
146,-3.3881987577639863,-4.214453472254596
147,-3.834482758620468,-4.210653765118255
148,16.39295774647902,-4.004617650002282
149,-3.404659498207647,-3.9986180684843355
150,52.90804597701031,-3.429551428029389
151,-3.936363636363621,-3.434619550112731
152,-3.660431654676014,-3.4368776711583635
153,-21.431638418078958,-3.6168252786275694
154,-3.972789115646333,-3.620384916997757
155,21.579401993354935,-3.36838704789423
156,9.229931972789174,-3.242403857687396
157,-3.697909407665296,-3.246958913187175
158,-3.786206896551487,-3.252351393020818
159,-3.6999999999997217,-3.2568278790906073
160,-17.70794223826718,-3.401339022682373
161,-3.441059602648779,-3.4017362284820374
162,-3.7583941605837414,-3.4053028078030545
163,-17.876470588235208,-3.550014485607376
164,-3.982822085889533,-3.5543425616101976
165,-3.4245614035085383,-3.553044750029181
166,-3.725925925925737,-3.554773561788146
167,-3.9936170212763353,-3.559161996383028
168,18.76153846153803,-3.335954991803818
169,10.079553903345754,-3.201799902852322
170,-3.7292682926826903,-3.207074586750626
171,-3.4920792079205296,-3.2099246329623248
172,9.945182724252552,-3.078373559390176
173,11.932394366197103,-2.9282658801343033
174,-3.707017543859401,-2.936053396771554
175,-3.7269360269358356,-2.943962223073197
176,-3.504225352112617,-2.9495648543635915
177,11.984587813620097,-2.8002233276837547
178,-3.8222222222224067,-2.810443316629141
179,-3.835051546391532,-2.8206893989267647
180,-3.762264150943207,-2.8301051464469293
181,11.714184397163107,-2.684662251010829
182,13.530935251797947,-2.522506275982741
183,12.610144927536158,-2.371179763947552
184,-3.633333333333128,-2.3838012996414077
185,17.342084942084444,-2.186542437224149
186,16.54081632652991,-1.9992688495866087
187,26.81874999999912,-1.7110886610907514
188,15.910144927535976,-1.5348763252044841
189,19.363768115941703,-1.3258898807930222
190,-3.7201342281877747,-1.3498323242669696
191,31.69036544850396,-1.0194303465392602
192,14.545283018867769,-0.8637832128851899
193,-3.633333333333178,-0.8914787140896697
194,-3.6276450511942993,-0.918840377460716
195,15.168817204300632,-0.7579638016431025
196,12.446153846153805,-0.6259226251651334
197,-17.874698795180546,-0.7984103868652875
198,-3.769230769230296,-0.8281185906889376
199,11.18641114982537,-0.7079732932837944
200,-3.7744966442950827,-0.7386385267939073
201,-17.770336391437297,-0.9089555054403411
202,12.91618122977326,-0.770704138088205
203,-3.9714776632302047,-0.802711873339625
204,-3.9580645161288177,-0.8342653997675169
205,-3.8825396825394973,-0.8647481425952367
206,42.451612903224614,-0.4315845321370381
207,15.515384615383963,-0.2721148406618281
208,-3.983333333333307,-0.30922702558854287
209,14.644444444444026,-0.15969031088821717
210,16.157142857142674,0.003478020792091724
211,9.37589576547247,0.0972021982388955
212,10.17627118644038,0.19799288812091034
213,-3.835051546391516,0.1576624437757861
214,10.224840764331294,0.2583342269813412
215,-3.7911854103341205,0.21783903060818655
216,-3.4286219081269746,0.18137442122083494
217,-3.7328767123285886,0.1422319098853407
218,13.089189189189124,0.27170148267837857
219,31.051724137930577,0.5795017092309005
220,-3.4633093525177285,0.5390735986134142
221,17.716901408450397,0.710851876711784
222,11.814285714285774,0.8218862150875239
223,19.633096085409022,1.009998313790739
224,27.176325088338587,1.2716615815362173
225,-17.67705382436247,1.0821744274772305
226,-3.6999999999997595,1.0343526832024605
227,-3.4754325259513132,0.9892548311109227
228,24.988888888888468,1.2292511716886982
229,-3.4728813559320195,1.182229846412491
230,26.685185185184586,1.437259399800212
231,14.829961089494159,1.5711864166971514
232,19.3415162454872,1.7488897149850517
233,-3.7933993399337784,1.6934668244358635
234,17.399999999999377,1.8505321561914985
235,15.384210526315607,1.9858689398927394
236,21.58947368421027,2.1819049873359146
237,10.019354838709692,2.2602794858496527
238,21.24929577464741,2.4501696487376305
239,-3.7070175438597315,2.3885977768116566
240,-3.268029739776807,2.3320315016457718
241,9.559477124182733,2.4043059578711414
242,12.928571428571226,2.509548612578142
243,12.50462046204616,2.6094993310728225
244,10.316129032258127,2.6865656280846753
245,20.01065292096179,2.859806501013446
246,15.935064935064462,2.9905590853539565
247,12.769798657717908,3.088351481077596
248,-3.756346749225868,3.019904498774561
249,-3.8937293729370905,2.9507681600574447
250,14.664359861591329,3.0679040770727837
251,12.947682119205288,3.166701857494109
252,11.406779661016909,3.249102635529337
253,-17.7497005988022,3.0391146031860217
254,14.207590759075583,3.150799364744917
255,-3.828767123287554,3.0810036998645924
256,12.87137809187254,3.178907443784672
257,-3.566220735785833,3.1114561619889667
258,13.968531468531376,3.2200269150543908
259,19.955052264808003,3.387377168551927
260,15.710526315789126,3.5106086600242987
261,27.269465648854506,3.748197229912601
262,32.253790613717555,4.033253163750651
263,12.890322580644995,4.121823857919594
264,-3.95231788079455,4.041082440532453
265,8.940579710145107,4.090077413228578
266,-3.602588996763524,4.013150749128657
267,-3.7097264437687962,3.935921977199683
268,14.702649006622218,4.043589247493909
269,14.922077922077298,4.152374134239743
270,12.329411764705542,4.2341445105444
271,19.756187290969617,4.389364938348652
272,14.345323741007215,4.4889245263752375
273,-3.56643356643369,4.408370945447148
274,-3.8874172185429474,4.325413063807247
275,10.326573426573487,4.385424667434909
276,12.44518272425245,4.4660222480030844
277,-3.895053003533525,4.382411495487718
278,9.22436260623235,4.430831006595164
279,-3.5606271777001335,4.350916424752211
280,-3.810526315789409,4.269301997346794
281,10.533779264214035,4.331946770015466
282,9.066666666666766,4.379293968981979
283,13.190031152647881,4.467401340818638
284,17.957055214723546,4.602297879557687
285,-3.8834394904457405,4.517440505857653
286,11.405263157894737,4.586318732378024
287,12.061165048543167,4.661067195539676
288,18.184775086504754,4.796304274449327
289,25.172354948805108,5.000064781192885
290,10.941269841269834,5.059476831793654
291,14.924999999999875,5.1581320634757155
292,34.84301075268666,5.454980850367825
293,22.52517985611451,5.625682840425292
294,16.725503355704333,5.736681045578083
295,-3.480495356036948,5.644509281561932
296,22.951383399208876,5.8175780227384015
297,25.177165354330356,6.011173896054321
298,12.193548387096724,6.072997640964744
299,14.233566433566256,6.154603328890759
300,-3.4084639498431533,6.05897265610342
301,12.219047619047593,6.120573405732862
302,-3.721594684385206,6.022151724831681
303,20.785496183205762,6.169785169415422
304,12.56376811594142,6.233724998880683
305,-3.7269360269358605,6.134118388622517
306,-3.7210526315787327,6.035566678420505
307,27.778078078077968,6.252991792417079
308,-3.8970297029702143,6.151491577463206
309,13.324324324324204,6.223219904931816
310,20.889700996677288,6.36988471584927
311,17.94832214765042,6.485669090167281
312,15.690476190475916,6.5777171611703675
313,11.687719298245558,6.628817182541119
314,14.727210884353402,6.709801119559242
315,37.687551867219405,7.019578627035844
316,-3.4901639344261257,6.914481201421224
317,16.78365758754846,7.013172965282497
318,19.02556390977397,7.133296874727411
319,23.184587813619842,7.293809784116335
320,30.024163568772444,7.521113321962896
321,-3.7444444444442717,7.408457744298824
322,9.64074074074075,7.430780574263243
323,-3.996969696969616,7.316503071550914
324,18.512274368230607,7.42846078451771
325,18.804152249134784,7.5422176991638805
326,10.36666666666642,7.570462188838906
327,-3.74925373134322,7.457265029637085
328,11.064516129032185,7.493337540631035
329,14.168749999999816,7.560091665224723
330,40.933574007219526,7.893826488644671
