epoch,raw_score,moving_avg_score
0,-17.771428571428505,-0.17771428571428505
1,-4.187725631768732,-0.21781439917482953
2,-17.840614334470786,-0.3940423985277891
3,-18.632432432432317,-0.5764262988668344
4,-17.70338983050845,-0.7476959341832505
5,-17.860450160771663,-0.9188234764491348
6,-18.56885245901637,-1.095323766274807
7,-17.833085501858626,-1.262701383630645
8,-21.762162162162035,-1.467695991415959
9,-29.157142857143192,-1.7445904600732314
10,-51.15000000000146,-2.2386445554725136
11,-4.728358208955163,-2.26354169200734
12,-3.4621908127206327,-2.275528183214473
13,-3.434920634920373,-2.287122107731532
14,-19.510299003322185,-2.4593538766874383
15,-17.838834951456267,-2.6131486874351264
16,-21.334567901234372,-2.8003628795731186
17,-17.680620155038525,-2.949165452327773
18,-17.808029197080195,-3.0977540897752966
19,-17.786206896551636,-3.2446386178430604
20,-17.875884244372937,-3.390951074108359
21,-17.805882352941012,-3.5351003868966853
22,-17.728782287822845,-3.677037205905947
23,-17.758064516128933,-3.8178474790081767
24,-3.8666666666663874,-3.8183356708847587
25,-17.807017543859562,-3.958222489614507
26,-3.8941176470585814,-3.957581441188948
27,-17.79968652037614,-4.09600249198082
28,-20.26478873239396,-4.257690354384951
29,-17.789855072463617,-4.3930120015657375
30,-3.557976653695959,-4.3846616480870395
31,-4.187725631768721,-4.382692287923857
32,-17.7714285714284,-4.516579650758902
33,-17.795053003533354,-4.649364384286647
34,-17.77583643122656,-4.780629104756046
35,-17.82334494773495,-4.911056263185834
36,-17.81358885017409,-5.040081589055717
37,-22.747540983606513,-5.217156183001224
38,-4.914675767917991,-5.214131378850392
39,-17.77535014005592,-5.339743566462447
40,-17.7714285714285,-5.464060416512107
41,-17.621404682274182,-5.585633859169728
42,-17.850915750915696,-5.7082866780871875
43,-3.5311827956986734,-5.686515639263302
44,11.57826086956508,-5.513867874175018
45,-22.37692307692285,-5.682498426202496
46,-3.704651162790556,-5.662719953568376
47,13.682008368200869,-5.4692726703506835
48,-3.806569343065473,-5.452645637077832
49,-17.844155844155722,-5.5765607391486105
50,-17.712460063897723,-5.697919732396101
51,-17.73887147335416,-5.818329249805681
52,-3.754849498327579,-5.797694452290901
53,-3.7406143344708385,-5.7771236511127
54,-17.809364548494905,-5.897446060086522
55,14.361111111110956,-5.694860488374547
56,-17.826229508196647,-5.816174178572768
57,-17.73150684931486,-5.935327505280189
58,-17.70851735015765,-6.053059403728964
59,-23.17021276595743,-6.224230937351249
60,-22.882822085889536,-6.390816848836632
61,-20.162264150943308,-6.528531321857699
62,-17.737920489296613,-6.640625213532088
63,-17.772549019607688,-6.751944451592844
64,-17.765886287625214,-6.862083869953167
65,-24.205504587156,-7.035518077125195
66,-22.64285714285706,-7.191591467782513
67,-17.820178041543016,-7.297877333520119
68,-3.883870967741852,-7.263737269862336
69,-17.857553956834323,-7.369675436732056
